index;name
1;Precentral
2;Frontal_Sup_2
3;Frontal_Mid_2
4;Frontal_Inf_Oper
5;Frontal_Inf_Tri
6;Frontal_Inf_Orb_2
7;Rolandic_Oper
8;Supp_Motor_Area
9;Olfactory
10;Frontal_Sup_Medial
11;Frontal_Med_Orb
12;Rectus
13;OFCmed
14;OFCant
15;OFCpost
16;OFClat
17;Insula
18;Cingulate_Mid
19;Cingulate_Post
20;Hippocampus
21;ParaHippocampal
22;Amygdala
23;Calcarine
24;Cuneus
25;Lingual
26;Occipital_Sup
27;Occipital_Mid
28;Occipital_Inf
29;Fusiform
30;Postcentral
31;Parietal_Sup
32;Parietal_Inf
33;SupraMarginal
34;Angular
35;Precuneus
36;Paracentral_Lobule
37;Caudate
38;Putamen
39;Pallidum
40;Heschl
41;Temporal_Sup
42;Temporal_Pole_Sup
43;Temporal_Mid
44;Temporal_Pole_Mid
45;Temporal_Inf
46;Cerebellum_Crus1
47;Cerebellum_Crus2
48;Cerebellum_3
49;Cerebellum_4_5
50;Cerebellum_6
51;Cerebellum_7b
52;Cerebellum_8
53;Cerebellum_9
54;Cerebellum_10
55;ACC_sub
56;ACC_pre
57;ACC_sup
58;N_Acc
59;VTA
60;SN_pc
61;SN_pr
62;Red_N
63;LC
64;Thalamus
113;Vermis_1_2
114;Vermis_3
115;Vermis_4_5
116;Vermis_6
117;Vermis_7
118;Vermis_8
119;Vermis_9
120;Vermis_10
169;Raphe_D
170;Raphe_M
