study;contrast;method;region_1;region_2;direction
3;SZ-HC;SBVW;Cerebellum_6_R;Cingulum_Ant_L;1
3;SZ-HC;SBVW;Cerebellum_6_R;Cingulum_Ant_R;1
3;SZ-HC;SBVW;Cerebellum_6_R;Frontal_Mid_2_L;1
3;SZ-HC;SBVW;Cerebellum_6_R;Frontal_Mid_2_R;1
3;SZ-HC;SBVW;Cerebellum_6_R;Caudate_L;1
3;SZ-HC;SBVW;Cerebellum_6_R;Caudate_R;1
3;SZ-HC;SBVW;Cerebellum_6_R;Putamen_L;1
3;SZ-HC;SBVW;Cerebellum_6_R;Putamen_R;1
3;SZ-HC;SBVW;Cerebellum_6_R;N_Acc_L;1
3;SZ-HC;SBVW;Cerebellum_6_R;N_Acc_R;1
3;SZ-HC;SBVW;Cerebellum_6_R;Thalamus_L;1
3;SZ-HC;SBVW;Cerebellum_6_R;Thalamus_R;1
3;SZ-HC;SBVW;Cerebellum_6_R;Cerebellum_Crus2_L;1
3;SZ-HC;SBVW;Cerebellum_6_R;Cerebellum_Crus2_R;1
3;SZ-HC;SBVW;Cerebellum_6_R;Cerebellum_8_L;1
3;SZ-HC;SBVW;Cerebellum_6_R;Cerebellum_8_R;1
3;SZ-HC;SBVW;Cerebellum_6_R;Cerebellum_7b_L;1
3;SZ-HC;SBVW;Cerebellum_6_R;Cerebellum_7b_R;1
3;SZ-HC;SBVW;Cerebellum_6_R;Cerebellum_9_L;1
3;SZ-HC;SBVW;Cerebellum_6_R;Cerebellum_9_R;1
3;SZ-HC;SBVW;Cerebellum_6_R;Cerebellum_Crus1_L;1
3;SZ-HC;SBVW;Cerebellum_6_R;Cerebellum_Crus1_R;1
3;SZ-HC;SBVW;Cerebellum_6_R;Vermis_7;1
3;SZ-HC;SBVW;Cerebellum_6_R;Vermis_6;1
3;SZ-HC;SBVW;Cerebellum_6_R;Vermis_3;1
3;SZ-HC;SBVW;Cerebellum_6_R;Vermis_4_5;1
3;SZ-HC;SBVW;Cerebellum_6_R;Calcarine_L;-1
3;SZ-HC;SBVW;Cerebellum_6_R;Calcarine_R;-1
3;SZ-HC;SBVW;Cerebellum_6_R;Cuneus_L;-1
3;SZ-HC;SBVW;Cerebellum_6_R;Cuneus_R;-1
3;SZ-HC;SBVW;Cerebellum_6_R;Occipital_Sup_L;-1
3;SZ-HC;SBVW;Cerebellum_6_R;Occipital_Sup_R;-1
3;SZ-HC;SBVW;Cerebellum_6_R;Occipital_Mid_L;-1
3;SZ-HC;SBVW;Cerebellum_6_R;Occipital_Mid_R;-1
3;SZ-HC;SBVW;Cerebellum_6_R;Lingual_L;-1
3;SZ-HC;SBVW;Cerebellum_6_R;Lingual_R;-1
3;SZ-HC;SBVW;Cerebellum_6_R;Fusiform_L;-1
3;SZ-HC;SBVW;Cerebellum_6_R;Fusiform_R;-1
3;SZ-HC;SBVW;Cerebellum_6_R;Cerebellum_6_L;-1
3;SZ-HC;SBVW;Cerebellum_6_R;Cerebellum_6_R;-1
3;SZ-HC;SBVW;Cerebellum_6_R;Cerebellum_4_5_L;-1
3;SZ-HC;SBVW;Cerebellum_6_R;Cerebellum_4_5_R;-1
3;SZ-HC;SBVW;Cerebellum_6_R;Precentral_R;-1
