study,n_patients
7,32
16,30
18,46
23,49
47,47
66,61
68,52
85,27
93,43
95,60
103,20
119,20
123,36
131,27
145,26
159,21
164,14
170,28
176,38
182,40
188,57
199,20
203,16
204,15
209,15
214,18
250,64
261,18
274,20
292,26
294,68
309,64
329,14
343,15
349,15
743,36
793,12
823,96
824,90
857,35
860,97
878,92
921,32
952,19
955,43
1005,24
1022,43
1101,20
1103,30
1114,40
1151,94
1193,88
1201,38
1219,21
1228,5
1280,41
1281,30
1283,20
1318,21
1376,40
1389,46
1406,23
1417,43
1434,15
1436,38
1454,62
1495,27
1503,41
1508,16
1515,62
1527,81
1534,25
1541,74
1571,65
1577,16
1592,91
1596,80
1600,40
1605,18
1658,42
1701,41
1747,21
1778,21
1801,30
1833,43
