study,n_patients
3,95
5,45
10,33
11,34
18,68
20,62
22,34
27,42
28,35
31,14
34,27
43,50
44,28
45,13
46,94
52,46
57,63
60,143
64,95
72,40
75,17
76,24
80,35
81,116
82,32
86,81
87,116
90,75
93,71
107,14
108,28
112,55
113,12
114,63
120,22
122,95
125,124
127,63
129,29
131,21
133,48
134,66
135,36
136,94
140,49
142,147
149,121
151,43
152,72
155,91
158,68
168,33
169,24
171,19
174,60
176,60
180,24
186,26
188,37
189,22
191,12
196,18
211,24
223,48
233,49
236,19
241,22
246,90
247,36
250,70
254,26
255,25
256,36
257,24
259,44
261,18
264,18
266,69
277,41
281,54
287,33
289,62
290,20
291,14
295,44
296,25
298,115
307,19
308,25
309,70
315,45
322,10
326,30
328,10
329,16
330,42
334,40
337,18
345,34
355,27
358,29
360,17
362,25
367,17
372,17
732,19
740,28
757,48
767,28
771,84
773,48
775,112
782,17
798,21
816,46
834,92
836,35
837,16
840,23
842,33
847,36
849,29
852,60
859,49
860,126
887,58
888,34
904,24
913,21
919,25
920,13
932,18
935,48
940,181
944,37
954,120
955,45
972,20
973,11
991,25
992,141
998,49
1004,183
1009,24
1026,120
1034,18
1039,57
1041,47
1050,45
1052,18
1065,46
1070,23
1072,51
1088,84
1091,59
1108,68
1118,14
1119,65
1130,11
1136,40
1140,49
1153,20
1168,19
1182,95
1192,49
1193,100
1195,19
1198,31
1225,59
1232,42
1234,78
1239,59
1250,46
1272,23
1274,33
1279,28
1281,32
1287,72
1289,51
1292,20
1304,39
1307,60
1320,41
1325,42
1333,19
1346,74
1376,77
1382,19
1389,48
1399,19
1404,64
1409,60
1413,159
1416,43
1445,46
1458,11
1462,47
1471,20
1487,46
1504,26
1527,162
1531,44
1535,100
1544,73
1576,68
1588,17
1598,43
1603,120
1612,124
1641,99
1644,43
1675,74
1692,57
1730,23
1754,88
1761,29
1771,59
1782,121
1793,32
1803,172
1834,40
1836,21
1852,40
