"","Visual1,Visual1","Visual1,Visual2","Visual1,Somatomotor","Visual1,Auditory","Visual1,Language","Visual1,Dorsal-attention","Visual1,Frontoparietal","Visual1,Cingulo-Opercular","Visual1,Default","Visual1,Posterior-Multimodal","Visual1,Ventral-Multimodal","Visual1,Orbito-Affective","Visual2,Visual2","Visual2,Somatomotor","Visual2,Auditory","Visual2,Language","Visual2,Dorsal-attention","Visual2,Frontoparietal","Visual2,Cingulo-Opercular","Visual2,Default","Visual2,Posterior-Multimodal","Visual2,Ventral-Multimodal","Visual2,Orbito-Affective","Somatomotor,Somatomotor","Somatomotor,Auditory","Somatomotor,Language","Somatomotor,Dorsal-attention","Somatomotor,Frontoparietal","Somatomotor,Cingulo-Opercular","Somatomotor,Default","Somatomotor,Posterior-Multimodal","Somatomotor,Ventral-Multimodal","Somatomotor,Orbito-Affective","Auditory,Auditory","Auditory,Language","Auditory,Dorsal-attention","Auditory,Frontoparietal","Auditory,Cingulo-Opercular","Auditory,Default","Auditory,Posterior-Multimodal","Auditory,Ventral-Multimodal","Auditory,Orbito-Affective","Language,Language","Language,Dorsal-attention","Language,Frontoparietal","Language,Cingulo-Opercular","Language,Default","Language,Posterior-Multimodal","Language,Ventral-Multimodal","Language,Orbito-Affective","Dorsal-attention,Dorsal-attention","Dorsal-attention,Frontoparietal","Dorsal-attention,Cingulo-Opercular","Dorsal-attention,Default","Dorsal-attention,Posterior-Multimodal","Dorsal-attention,Ventral-Multimodal","Dorsal-attention,Orbito-Affective","Frontoparietal,Frontoparietal","Frontoparietal,Cingulo-Opercular","Frontoparietal,Default","Frontoparietal,Posterior-Multimodal","Frontoparietal,Ventral-Multimodal","Frontoparietal,Orbito-Affective","Cingulo-Opercular,Cingulo-Opercular","Cingulo-Opercular,Default","Cingulo-Opercular,Posterior-Multimodal","Cingulo-Opercular,Ventral-Multimodal","Cingulo-Opercular,Orbito-Affective","Default,Default","Default,Posterior-Multimodal","Default,Ventral-Multimodal","Default,Orbito-Affective","Posterior-Multimodal,Posterior-Multimodal","Posterior-Multimodal,Ventral-Multimodal","Posterior-Multimodal,Orbito-Affective","Ventral-Multimodal,Ventral-Multimodal","Ventral-Multimodal,Orbito-Affective","Orbito-Affective,Orbito-Affective"
"MDD_hyper",0.97721,0.63516,0.63477,0.52494,0.8719,0.83158,0.74099,0.77773,0.37233,0.96728,0.83119,0.82949,0.35981,0.31045,0.60808,0.46317,0.60042,0.12951,0.36255,0.00033,0.91663,0.59974,0.84359,0.71213,0.20315,0.22,0.60589,0.0039,0.18296,0.01146,0.91675,0.6078,0.52541,0.92772,0.34769,0.39148,0.04132,0.81627,0.72023,0.56976,0.39148,0.67992,0.98864,0.64484,0.21802,0.0357,0.35857,0.17403,0.90226,0.84963,0.98565,0.97973,0.81608,0.85672,0.86972,0.32728,0.73396,9.99999999999999e-06,9.99999999999999e-06,9.99999999999999e-06,0.92399,0.99779,0.76532,0.00639,9.99999999999999e-06,0.56112,0.81577,0.74941,9.99999999999999e-06,0.83022,0.99709,0.99451,0.98493,0.86765,0.95896,0.99808,0.73711,0.99122
"MDD_hypo",0.96552,0.82204,0.7466,0.91936,0.96583,0.97613,0.51665,0.29533,0.10294,0.96172,0.97398,0.97424,0.02713,0.19868,0.07911,0.19456,0.90848,0.10707,0.06546,0.00602,0.54067,0.90329,0.65489,0.12074,0.64199,0.69133,0.62415,1e-04,0.00481,0.02993,0.98591,0.88561,0.71255,0.79092,0.86947,0.85359,0.46757,0.40609,0.66487,0.85655,0.84562,0.73116,0.99471,0.97274,0.06914,0.84054,0.20592,0.83003,0.99958,0.97568,0.99964,0.8215,0.82923,0.9769,0.96908,0.82017,0.95113,9.99999999999999e-06,9.99999999999999e-06,9.99999999999999e-06,0.1766,0.99484,0.59011,9.99999999999999e-06,9.99999999999999e-06,0.33199,0.93226,0.68605,9.99999999999999e-06,0.26449,0.99852,0.88481,0.99984,0.99951,0.91621,0.99998,0.94686,0.99998
"BD_hyper",0.98829,0.66701,0.77523,0.66036,0.79458,0.60648,0.32567,0.356,0.54902,0.77714,0.60984,0.2513,0.70791,0.60924,0.43636,0.644,0.35297,0.00852,0.5478,0.00633,0.63546,0.35424,0.63779,0.28538,0.57886,0.79739,0.57229,0.02617,0.01677,0.05926,0.78937,0.57038,0.75964,0.0984,0.63773,0.34177,0.24517,0.53509,0.71573,0.62709,0.33938,0.62752,0.91932,0.65077,0.66071,0.95767,0.2029,0.68148,0.2058,0.46001,0.97852,0.75054,0.52652,0.71319,0.6337,0.24445,0.57812,9.99999999999999e-06,3e-05,9.99999999999999e-06,0.02098,0.93783,0.54556,0.00035,1e-04,0.93266,0.52822,0.33669,0.00248,0.05234,0.92535,0.55493,0.90979,0.56821,0.79825,0.97897,0.58006,0.98743
"BD_hypo",0.82926,0.51845,0.57861,0.52309,0.92634,0.78469,0.6413,0.86037,0.65309,0.90281,0.78547,0.8036,0.00285,0.49816,0.81948,0.66695,0.75751,0.21607,0.85998,0.06599,0.62181,0.75844,0.84038,8e-05,0.15703,0.32165,0.77102,0.00915,0.00066,0.00048,0.57755,0.76926,0.28114,0.92105,0.62863,0.72008,0.21657,0.14815,0.00253,0.89535,0.72275,0.18143,0.80798,0.94293,0.35297,0.10651,0.83613,0.98266,0.87312,0.95888,0.75305,0.82411,0.96317,0.79824,0.73887,0.62562,0.75043,3e-05,0.00014,9.99999999999999e-06,0.41739,0.99111,0.94823,0.00072,0.00098,0.26769,0.96323,0.36012,9.99999999999999e-06,0.57309,0.99499,0.96651,0.96142,0.85853,0.95677,0.91308,0.75146,0.99134
"SZ_hyper",0.99901,0.38147,0.01386,0.73967,0.83572,0.99256,0.28983,0.85932,0.0332,0.95515,0.99287,0.77041,0.70553,0.08735,0.51536,0.75474,0.57738,2e-05,0.02981,0.01305,0.7504,0.56925,0.55738,0.41879,0.61822,0.92018,0.41537,9.99999999999999e-06,8e-05,0.06786,0.55343,0.85489,0.41479,0.79759,0.94874,0.93374,0.00012,0.65275,0.06539,0.95705,0.90803,0.94393,0.83816,0.8975,0.99353,0.99874,0.73899,0.89573,0.83606,0.9332,0.99985,0.99979,0.99097,0.68206,0.98765,0.97457,0.9296,9.99999999999999e-06,9.99999999999999e-06,9.99999999999999e-06,0.99785,1,0.99944,0.00888,9.99999999999999e-06,0.99308,0.99799,0.99332,9.99999999999999e-06,0.38859,0.99495,0.9116,0.99373,0.98432,0.9487,1,0.90304,0.99622
"SZ_hypo",0.95473,0.76708,0.726,0.88147,0.94549,0.7908,0.75763,0.81902,0.92477,0.98624,0.9933,0.90055,3e-05,0.00313,0.13393,0.67524,0.54458,0.5981,0.12939,0.03469,0.86159,0.99773,0.90301,9.99999999999999e-06,0.00189,0.83476,0.8123,0.39635,3e-05,0.01223,0.6963,0.99127,0.93722,0.00012,0.73022,0.95586,0.62643,0.01579,0.00012,0.95305,0.98488,0.99783,0.99998,0.98296,0.88249,0.86581,0.95696,0.99697,0.99182,0.99644,0.99973,0.685,0.96093,0.96262,0.97871,0.97751,0.97869,9.99999999999999e-06,9.99999999999999e-06,9.99999999999999e-06,0.78216,1,0.98826,9.99999999999999e-06,9.99999999999999e-06,0.62441,1,0.83549,9.99999999999999e-06,0.90621,0.99998,0.99884,1,0.99924,0.99435,1,0.99612,1
"MDD_diffHypoHyper",0.44056,1,1,1,0.61571,1,0.76336,0.27266,0.47384,0.23993,1,1,0.08722,0.60921,0.10864,0.15373,1,1,0.32022,1,0.05472,1,0.49031,0.05913,1,0.71247,1,0.384,0.1484,1,0.49222,1,1,0.27161,1,1,0.58022,0.3623,1,0.61436,1,1,0.27622,1,0.2688,1,0.24972,1,1,0.61558,1,0.68042,1,1,0.48912,1,1,0.14784,0.5979,0.23462,0.03786,1,0.764,0.02157,0.31294,0.12632,1,0.67821,0.67955,0.0766,1,0.27687,1,1,0.11795,1,1,1
"BD_diffHypoHyper",0.4951,1,1,1,1,1,1,1,1,1,1,1,0.04652,1,1,1,1,1,1,1,1,1,1,0.08025,0.4854,0.23807,1,0.40688,0.36714,0.24522,0.48893,1,0.48938,0.19708,1,1,0.4796,0.35186,0.02741,1,1,0.48699,0.61428,1,0.0926,0.01153,1,1,1,1,0.4936,0.61448,1,1,1,1,1,0.69673,0.50735,0.15726,1,1,1,0.82173,1,0.05533,1,1,0.04172,1,1,1,1,1,1,1,1,1
"SZ_diffHypoHyper",0.00997,1,0.78548,0.7134,1,0.11422,0.85223,0.14108,0.49379,1,1,1,2e-05,0.11287,0.18887,0.67136,0.6689,0.17827,0.31878,0.42597,1,0.48878,1,1e-05,0.0049,0.26868,1,0.01066,0.06814,0.08413,0.52207,1,1,1e-05,0.20253,0.61504,0.4142,0.00109,0.01017,0.36001,1,1,0.74539,1,0.08641,0.00946,0.78309,1,1,1,0.11747,0.00222,0.0782,1,0.48971,1,1,0.00044,0.00203,0.39243,0.03102,1,0.08342,1e-05,0.00238,0.00705,1,0.01498,0.01779,1,1,1,1,1,1,1,1,0.49702
"MDD_BD_diffGroup_hyper",0.53349,1,1,1,1,1,1,0.6256,0.49131,1,1,0.42688,0.70927,1,1,0.5202,1,0.77291,0.66091,0.79602,1,1,1,0.45902,1,0.24955,1,0.78783,0.47273,0.78131,1,1,1,0.09475,0.51673,1,0.35295,1,0.41981,1,1,1,1,1,0.20182,0.04025,1,0.25021,0.3883,1,1,1,1,0.6614,1,1,1,1,1,0.71352,0.17967,1,0.70521,0.26395,0.83743,0.27686,1,1,0.1125,0.49527,1,0.60661,1,1,1,1,1,1
