aal3,CAB-NP
Frontal_Sup_2,Default
Frontal_Mid_2,Frontoparietal
Frontal_Inf_Oper,Frontoparietal
Frontal_Inf_Tri,Frontoparietal
Frontal_Inf_Orb_2,Frontoparietal
Supp_Motor_Area,Cingulo-Opercular
Frontal_Sup_Medial,Default
Frontal_Med_Orb,Default
Rectus,Default
OFCmed,Default
OFCant,Frontoparietal
OFCpost,Default
OFClat,Frontoparietal
Insula,Cingulo-Opercular
Cingulate_Mid,Cingulo-Opercular
Cingulate_Post,Default
Hippocampus,Default
ParaHippocampal,Default
Parietal_Inf,Frontoparietal
SupraMarginal,Cingulo-Opercular
Angular,Default
Precuneus,Default
Caudate,Frontoparietal
Putamen,Cingulo-Opercular
Pallidum,Cingulo-Opercular
Temporal_Pole_Sup,Default
Temporal_Mid,Default
Temporal_Pole_Mid,Default
Temporal_Inf,Default
Cerebellum_Crus1,Frontoparietal
Cerebellum_Crus2,Frontoparietal
Cerebellum_3,Default
Cerebellum_6,Cingulo-Opercular
Cerebellum_7b,Frontoparietal
Cerebellum_9,Default
Cerebellum_10,Frontoparietal
Thal_AV,Frontoparietal
Thal_LP,Frontoparietal
Thal_VA,Frontoparietal
Thal_VL,Frontoparietal
Thal_Re,Frontoparietal
Thal_MDm,Cingulo-Opercular
ACC_sub,Default
ACC_pre,Default
ACC_sup,Cingulo-Opercular
VTA,Frontoparietal
SN_pc,Frontoparietal
SN_pr,Frontoparietal
Red_N,Frontoparietal
Vermis_1_2,Frontoparietal
Vermis_4_5,Frontoparietal
Vermis_10,Frontoparietal
Raphe_M,Default
