study,contrast,method,region_1,region_2,direction
3,SZ-HC,SBVW,Cingulo-Opercular,Default,1
3,SZ-HC,SBVW,Cingulo-Opercular,Frontoparietal,1
3,SZ-HC,SBVW,Cingulo-Opercular,Cingulo-Opercular,1
3,SZ-HC,SBVW,Cingulo-Opercular,Orbito-Affective,1
3,SZ-HC,SBVW,Cingulo-Opercular,Visual1,1
3,SZ-HC,SBVW,Cingulo-Opercular,Dorsal-attention,1
3,SZ-HC,SBVW,Cingulo-Opercular,Visual2,1
3,SZ-HC,SBVW,Cingulo-Opercular,Posterior-Multimodal,1
3,SZ-HC,SBVW,Cingulo-Opercular,Visual1,-1
3,SZ-HC,SBVW,Cingulo-Opercular,Visual2,-1
3,SZ-HC,SBVW,Cingulo-Opercular,Cingulo-Opercular,-1
3,SZ-HC,SBVW,Cingulo-Opercular,Somatomotor,-1
3,SZ-HC,SBVW,Cingulo-Opercular,Visual1,0
3,SZ-HC,SBVW,Cingulo-Opercular,Visual2,0
3,SZ-HC,SBVW,Cingulo-Opercular,Somatomotor,0
3,SZ-HC,SBVW,Auditory,Cingulo-Opercular,0
3,SZ-HC,SBVW,Cingulo-Opercular,Language,0
3,SZ-HC,SBVW,Cingulo-Opercular,Dorsal-attention,0
3,SZ-HC,SBVW,Cingulo-Opercular,Frontoparietal,0
3,SZ-HC,SBVW,Cingulo-Opercular,Cingulo-Opercular,0
3,SZ-HC,SBVW,Cingulo-Opercular,Default,0
3,SZ-HC,SBVW,Cingulo-Opercular,Posterior-Multimodal,0
3,SZ-HC,SBVW,Cingulo-Opercular,Ventral-Multimodal,0
3,SZ-HC,SBVW,Cingulo-Opercular,Orbito-Affective,0
5,MDD-HC,STR,Default,Language,-1
5,SZ-HC,STR,Frontoparietal,Language,-1
5,MDD-HC,STR,Frontoparietal,Language,-1
5,SZ-HC,STR,Cingulo-Opercular,Language,-1
5,MDD-HC,STR,Default,Posterior-Multimodal,-1
5,SZ-HC,STR,Frontoparietal,Posterior-Multimodal,-1
5,MDD-HC,STR,Frontoparietal,Posterior-Multimodal,-1
5,SZ-HC,STR,Cingulo-Opercular,Posterior-Multimodal,-1
5,SZ-HC,STR,Language,Somatomotor,0
5,SZ-HC,STR,Language,Language,0
5,SZ-HC,STR,Dorsal-attention,Language,0
5,SZ-HC,STR,Frontoparietal,Language,0
5,SZ-HC,STR,Cingulo-Opercular,Language,0
5,SZ-HC,STR,Default,Language,0
5,SZ-HC,STR,Language,Orbito-Affective,0
5,SZ-HC,STR,Posterior-Multimodal,Somatomotor,0
5,SZ-HC,STR,Language,Posterior-Multimodal,0
5,SZ-HC,STR,Dorsal-attention,Posterior-Multimodal,0
5,SZ-HC,STR,Frontoparietal,Posterior-Multimodal,0
5,SZ-HC,STR,Cingulo-Opercular,Posterior-Multimodal,0
5,SZ-HC,STR,Default,Posterior-Multimodal,0
5,SZ-HC,STR,Orbito-Affective,Posterior-Multimodal,0
5,MDD-HC,STR,Language,Somatomotor,0
5,MDD-HC,STR,Language,Language,0
5,MDD-HC,STR,Dorsal-attention,Language,0
