study,contrast,method,region_1,region_2,direction
3,SZ-HC,SBVW,ACC_pre,Cerebellum_6,1
3,SZ-HC,SBVW,Cerebellum_6,Frontal_Mid_2,1
3,SZ-HC,SBVW,Caudate,Cerebellum_6,1
3,SZ-HC,SBVW,Cerebellum_6,Putamen,1
3,SZ-HC,SBVW,Cerebellum_6,Thalamus,1
3,SZ-HC,SBVW,Cerebellum_6,Cerebellum_Crus2,1
3,SZ-HC,SBVW,Cerebellum_6,Cerebellum_7b,1
3,SZ-HC,SBVW,Cerebellum_6,Cerebellum_9,1
3,SZ-HC,SBVW,Cerebellum_6,Cerebellum_Crus1,1
3,SZ-HC,SBVW,Cerebellum_6,Vermis_4_5,1
3,SZ-HC,SBVW,Cerebellum_6,Cerebellum_6,-1
3,SZ-HC,SBVW,Cerebellum_6,Frontal_Sup_2,0
3,SZ-HC,SBVW,Cerebellum_6,Frontal_Mid_2,0
3,SZ-HC,SBVW,Cerebellum_6,Frontal_Inf_Oper,0
3,SZ-HC,SBVW,Cerebellum_6,Frontal_Inf_Tri,0
3,SZ-HC,SBVW,Cerebellum_6,Frontal_Inf_Orb_2,0
3,SZ-HC,SBVW,Cerebellum_6,Supp_Motor_Area,0
3,SZ-HC,SBVW,Cerebellum_6,Frontal_Sup_Medial,0
3,SZ-HC,SBVW,Cerebellum_6,Frontal_Med_Orb,0
3,SZ-HC,SBVW,Cerebellum_6,Rectus,0
3,SZ-HC,SBVW,Cerebellum_6,OFCmed,0
3,SZ-HC,SBVW,Cerebellum_6,OFCant,0
3,SZ-HC,SBVW,Cerebellum_6,OFCpost,0
3,SZ-HC,SBVW,Cerebellum_6,OFClat,0
3,SZ-HC,SBVW,Cerebellum_6,Insula,0
3,SZ-HC,SBVW,Cerebellum_6,Cingulate_Mid,0
3,SZ-HC,SBVW,Cerebellum_6,Cingulate_Post,0
3,SZ-HC,SBVW,Cerebellum_6,Hippocampus,0
3,SZ-HC,SBVW,Cerebellum_6,ParaHippocampal,0
3,SZ-HC,SBVW,Cerebellum_6,Parietal_Inf,0
3,SZ-HC,SBVW,Cerebellum_6,SupraMarginal,0
3,SZ-HC,SBVW,Angular,Cerebellum_6,0
3,SZ-HC,SBVW,Cerebellum_6,Precuneus,0
3,SZ-HC,SBVW,Caudate,Cerebellum_6,0
3,SZ-HC,SBVW,Cerebellum_6,Putamen,0
3,SZ-HC,SBVW,Cerebellum_6,Pallidum,0
3,SZ-HC,SBVW,Cerebellum_6,Temporal_Pole_Sup,0
3,SZ-HC,SBVW,Cerebellum_6,Temporal_Mid,0
3,SZ-HC,SBVW,Cerebellum_6,Temporal_Pole_Mid,0
3,SZ-HC,SBVW,Cerebellum_6,Temporal_Inf,0
3,SZ-HC,SBVW,Cerebellum_6,Cerebellum_Crus1,0
3,SZ-HC,SBVW,Cerebellum_6,Cerebellum_Crus2,0
3,SZ-HC,SBVW,Cerebellum_3,Cerebellum_6,0
3,SZ-HC,SBVW,Cerebellum_6,Cerebellum_6,0
3,SZ-HC,SBVW,Cerebellum_6,Cerebellum_7b,0
3,SZ-HC,SBVW,Cerebellum_6,Cerebellum_9,0
3,SZ-HC,SBVW,Cerebellum_10,Cerebellum_6,0
3,SZ-HC,SBVW,ACC_sub,Cerebellum_6,0
3,SZ-HC,SBVW,ACC_pre,Cerebellum_6,0
3,SZ-HC,SBVW,ACC_sup,Cerebellum_6,0
3,SZ-HC,SBVW,Cerebellum_6,VTA,0
3,SZ-HC,SBVW,Cerebellum_6,SN_pc,0
3,SZ-HC,SBVW,Cerebellum_6,SN_pr,0
3,SZ-HC,SBVW,Cerebellum_6,Red_N,0
3,SZ-HC,SBVW,Cerebellum_6,Thalamus,0
3,SZ-HC,SBVW,Cerebellum_6,Vermis_1_2,0
3,SZ-HC,SBVW,Cerebellum_6,Vermis_4_5,0
3,SZ-HC,SBVW,Cerebellum_6,Vermis_10,0
3,SZ-HC,SBVW,Cerebellum_6,Raphe_M,0
7,BD-HC,SBVW,Angular,Cingulate_Post,1
7,BD-HC,SBVW,Frontal_Mid_2,Hippocampus,1
7,BD-HC,SBVW,Cerebellum_3,Frontal_Mid_2,1
7,BD-HC,SBVW,Cerebellum_9,Frontal_Mid_2,1
7,BD-HC,SBVW,Cerebellum_10,Frontal_Mid_2,1
7,BD-HC,SBVW,Frontal_Mid_2,VTA,1
7,BD-HC,SBVW,Frontal_Mid_2,SN_pc,1
7,BD-HC,SBVW,Frontal_Mid_2,SN_pr,1
7,BD-HC,SBVW,Frontal_Mid_2,Red_N,1
7,BD-HC,SBVW,Frontal_Mid_2,Thalamus,1
7,BD-HC,SBVW,Frontal_Mid_2,Vermis_1_2,1
7,BD-HC,SBVW,Frontal_Mid_2,Vermis_10,1
7,BD-HC,SBVW,Frontal_Mid_2,Raphe_M,1
7,BD-HC,SBVW,Cingulate_Post,Frontal_Sup_2,0
7,BD-HC,SBVW,Cingulate_Post,Frontal_Mid_2,0
7,BD-HC,SBVW,Cingulate_Post,Frontal_Inf_Oper,0
7,BD-HC,SBVW,Cingulate_Post,Frontal_Inf_Tri,0
7,BD-HC,SBVW,Cingulate_Post,Frontal_Inf_Orb_2,0
7,BD-HC,SBVW,Cingulate_Post,Supp_Motor_Area,0
7,BD-HC,SBVW,Cingulate_Post,Frontal_Sup_Medial,0
7,BD-HC,SBVW,Cingulate_Post,Frontal_Med_Orb,0
7,BD-HC,SBVW,Cingulate_Post,Rectus,0
7,BD-HC,SBVW,Cingulate_Post,OFCmed,0
7,BD-HC,SBVW,Cingulate_Post,OFCant,0
7,BD-HC,SBVW,Cingulate_Post,OFCpost,0
7,BD-HC,SBVW,Cingulate_Post,OFClat,0
7,BD-HC,SBVW,Cingulate_Post,Insula,0
7,BD-HC,SBVW,Cingulate_Mid,Cingulate_Post,0
7,BD-HC,SBVW,Cingulate_Post,Cingulate_Post,0
7,BD-HC,SBVW,Cingulate_Post,Hippocampus,0
7,BD-HC,SBVW,Cingulate_Post,ParaHippocampal,0
7,BD-HC,SBVW,Cingulate_Post,Parietal_Inf,0
7,BD-HC,SBVW,Cingulate_Post,SupraMarginal,0
7,BD-HC,SBVW,Angular,Cingulate_Post,0
7,BD-HC,SBVW,Cingulate_Post,Precuneus,0
7,BD-HC,SBVW,Caudate,Cingulate_Post,0
7,BD-HC,SBVW,Cingulate_Post,Putamen,0
7,BD-HC,SBVW,Cingulate_Post,Pallidum,0
7,BD-HC,SBVW,Cingulate_Post,Temporal_Pole_Sup,0
7,BD-HC,SBVW,Cingulate_Post,Temporal_Mid,0
7,BD-HC,SBVW,Cingulate_Post,Temporal_Pole_Mid,0
7,BD-HC,SBVW,Cingulate_Post,Temporal_Inf,0
7,BD-HC,SBVW,Cerebellum_Crus1,Cingulate_Post,0
7,BD-HC,SBVW,Cerebellum_Crus2,Cingulate_Post,0
7,BD-HC,SBVW,Cerebellum_3,Cingulate_Post,0
7,BD-HC,SBVW,Cerebellum_6,Cingulate_Post,0
7,BD-HC,SBVW,Cerebellum_7b,Cingulate_Post,0
7,BD-HC,SBVW,Cerebellum_9,Cingulate_Post,0
7,BD-HC,SBVW,Cerebellum_10,Cingulate_Post,0
7,BD-HC,SBVW,ACC_sub,Cingulate_Post,0
7,BD-HC,SBVW,ACC_pre,Cingulate_Post,0
7,BD-HC,SBVW,ACC_sup,Cingulate_Post,0
7,BD-HC,SBVW,Cingulate_Post,VTA,0
7,BD-HC,SBVW,Cingulate_Post,SN_pc,0
7,BD-HC,SBVW,Cingulate_Post,SN_pr,0
7,BD-HC,SBVW,Cingulate_Post,Red_N,0
7,BD-HC,SBVW,Cingulate_Post,Thalamus,0
7,BD-HC,SBVW,Cingulate_Post,Vermis_1_2,0
7,BD-HC,SBVW,Cingulate_Post,Vermis_4_5,0
7,BD-HC,SBVW,Cingulate_Post,Vermis_10,0
7,BD-HC,SBVW,Cingulate_Post,Raphe_M,0
7,BD-HC,SBVW,Frontal_Mid_2,Frontal_Sup_2,0
7,BD-HC,SBVW,Frontal_Mid_2,Frontal_Mid_2,0
7,BD-HC,SBVW,Frontal_Inf_Oper,Frontal_Mid_2,0
7,BD-HC,SBVW,Frontal_Inf_Tri,Frontal_Mid_2,0
7,BD-HC,SBVW,Frontal_Inf_Orb_2,Frontal_Mid_2,0
7,BD-HC,SBVW,Frontal_Mid_2,Supp_Motor_Area,0
7,BD-HC,SBVW,Frontal_Mid_2,Frontal_Sup_Medial,0
7,BD-HC,SBVW,Frontal_Med_Orb,Frontal_Mid_2,0
7,BD-HC,SBVW,Frontal_Mid_2,Rectus,0
7,BD-HC,SBVW,Frontal_Mid_2,OFCmed,0
7,BD-HC,SBVW,Frontal_Mid_2,OFCant,0
7,BD-HC,SBVW,Frontal_Mid_2,OFCpost,0
7,BD-HC,SBVW,Frontal_Mid_2,OFClat,0
7,BD-HC,SBVW,Frontal_Mid_2,Insula,0
7,BD-HC,SBVW,Cingulate_Mid,Frontal_Mid_2,0
7,BD-HC,SBVW,Frontal_Mid_2,Hippocampus,0
7,BD-HC,SBVW,Frontal_Mid_2,ParaHippocampal,0
7,BD-HC,SBVW,Frontal_Mid_2,Parietal_Inf,0
7,BD-HC,SBVW,Frontal_Mid_2,SupraMarginal,0
7,BD-HC,SBVW,Angular,Frontal_Mid_2,0
7,BD-HC,SBVW,Frontal_Mid_2,Precuneus,0
7,BD-HC,SBVW,Caudate,Frontal_Mid_2,0
7,BD-HC,SBVW,Frontal_Mid_2,Putamen,0
7,BD-HC,SBVW,Frontal_Mid_2,Pallidum,0
7,BD-HC,SBVW,Frontal_Mid_2,Temporal_Pole_Sup,0
7,BD-HC,SBVW,Frontal_Mid_2,Temporal_Mid,0
7,BD-HC,SBVW,Frontal_Mid_2,Temporal_Pole_Mid,0
7,BD-HC,SBVW,Frontal_Mid_2,Temporal_Inf,0
7,BD-HC,SBVW,Cerebellum_Crus1,Frontal_Mid_2,0
7,BD-HC,SBVW,Cerebellum_Crus2,Frontal_Mid_2,0
7,BD-HC,SBVW,Cerebellum_3,Frontal_Mid_2,0
7,BD-HC,SBVW,Cerebellum_6,Frontal_Mid_2,0
7,BD-HC,SBVW,Cerebellum_7b,Frontal_Mid_2,0
7,BD-HC,SBVW,Cerebellum_9,Frontal_Mid_2,0
7,BD-HC,SBVW,Cerebellum_10,Frontal_Mid_2,0
7,BD-HC,SBVW,ACC_sub,Frontal_Mid_2,0
7,BD-HC,SBVW,ACC_pre,Frontal_Mid_2,0
7,BD-HC,SBVW,ACC_sup,Frontal_Mid_2,0
7,BD-HC,SBVW,Frontal_Mid_2,VTA,0
7,BD-HC,SBVW,Frontal_Mid_2,SN_pc,0
7,BD-HC,SBVW,Frontal_Mid_2,SN_pr,0
7,BD-HC,SBVW,Frontal_Mid_2,Red_N,0
7,BD-HC,SBVW,Frontal_Mid_2,Thalamus,0
7,BD-HC,SBVW,Frontal_Mid_2,Vermis_1_2,0
7,BD-HC,SBVW,Frontal_Mid_2,Vermis_4_5,0
7,BD-HC,SBVW,Frontal_Mid_2,Vermis_10,0
7,BD-HC,SBVW,Frontal_Mid_2,Raphe_M,0
7,BD-HC,ICA,Frontal_Sup_2,Frontal_Sup_2,0
7,BD-HC,ICA,Frontal_Mid_2,Frontal_Mid_2,0
